URL_ATTEMPTED,HTTP_STATUS
http://www.nytimes.com/,301
https://www.nytimes.com/,200
https://www.nytimes.com/2017/02/13/insider/why-do-americans-refrigerate-their-eggs.html,303
http://www.nytimes.com/pages/arts/index.html,301
https://www.nytimes.com/2017/02/17/fashion/instyle-laura-brown-new-york-fashion-week.html,303
https://www.nytimes.com/2017/02/17/realestate/new-yorks-one-bedroom-rents-drop.html,303
https://www.nytimes.com/video/opinion,200
http://www.nytimes.com/pages/realestate/index.html,301
https://www.nytimes.com/glogin?uri=https%3a%2f%2fwww.nytimes.com%2f2017%2f02%2f13%2finsider%2fwhy-do-americans-refrigerate-their-eggs.html%3f_r%3d0,302
https://www.nytimes.com/pages/magazine/index.html,301
http://www.nytimes.com/trending/,301
https://www.nytimes.com/video/opinion/100000004796365/win-a-trip.html?playlistid=1194811622299,200
https://www.nytimes.com/2017/02/18/opinion/sunday/trapped-in-trumps-brain.html,200
http://www.nytimes.com/marketing/newsletters,301
https://www.nytimes.com/video/arts/,301
https://www.nytimes.com/2017/02/19/world/europe/in-the-land-of-opera-a-choir-for-the-tone-deaf.html,200
https://www.nytimes.com/2017/02/18/opinion/sunday/our-putin.html,200
http://www.nytimes.com/section/arts,301
https://www.nytimes.com/section/jobs,200
https://www.nytimes.com/glogin?uri=https%3a%2f%2fwww.nytimes.com%2f2017%2f02%2f17%2ffashion%2finstyle-laura-brown-new-york-fashion-week.html%3f_r%3d0,302
https://www.nytimes.com/2017/02/18/technology/farhads-and-mikes-week-in-tech-a-letter-from-zuckerberg-and-the-fall-of-pewdiepie.html,200
https://www.nytimes.com/interactive/2017/02/18/opinion/a-syrian-family-safe-in-america-now-what.html,200
https://www.nytimes.com/content/help/rights/copyright/copyright-notice.html,200
https://www.nytimes.com/2017/02/19/fashion/london-fashion-week-casa-cruz-restaurant.html,200
https://www.nytimes.com/pages/multimedia/index.html,301
https://www.nytimes.com/2017/02/17/upshot/to-fund-health-plan-gop-considers-limiting-popular-tax-break.html,200
https://www.nytimes.com/video/t-magazine/,301
https://www.nytimes.com/pages/todayspaper/index.html,301
https://www.nytimes.com/2017/02/18/us/california-storms.html,200
https://www.nytimes.com/2017/02/17/business/samsung-heir-arrested-south-korea.html,200
https://www.nytimes.com/glogin?uri=https%3a%2f%2fwww.nytimes.com%2f2017%2f02%2f17%2frealestate%2fnew-yorks-one-bedroom-rents-drop.html%3f_r%3d0,302
http://www.nytimes.com/video/the-daily-360,301
http://www.nytimes.com/section/nyregion,301
http://www.nytimes.com/hdleftnav,301
https://www.nytimes.com/services/xml/rss/index.html,200
https://www.nytimes.com/marketing/tools-and-services/,301
https://www.nytimes.com/pages/education/index.html,301
https://www.nytimes.com/video/n-y-region/,301
http://www.nytimes.com/pages/automobiles/index.html,200
https://www.nytimes.com/2017/02/19/us/michael-novak-dead-catholic-scholar.html,200
https://www.nytimes.com/2017/02/14/books/review/dark-flood-rises-margaret-drabble-.html,200
https://www.nytimes.com/2017/02/17/nyregion/new-york-math-camp.html,200
https://www.nytimes.com/2017/02/16/travel/scuba-diving-in-eritrea.html,200
https://www.nytimes.com/2017/02/16/arts/television/big-little-lies-nicole-kidman-reese-witherspoon.html,200
https://www.nytimes.com/video/movies/100000004929943/this-weeks-movies-feb-17-2017.html,200
https://www.nytimes.com/2017/02/18/obituaries/norma-mccorvey-dead-roe-v-wade.html,200
https://www.nytimes.com/2017/02/17/health/cdc-germ-lab-safety.html,200
https://www.nytimes.com/2015/08/02/education/edlife/how-to-live-wisely.html?hp&target=comments,200
https://www.nytimes.com/interactive/2017/02/17/magazine/christoph-niemann-north-korea-dmz.html,200
https://www.nytimes.com/video/opinion/100000004832573/as-trump-denies-climate-change-these-kids-die-of-it.html?playlistid=1194811622299,200
http://www.nytimes.com/section/us,301
https://www.nytimes.com/video/real-estate/,301
https://www.nytimes.com/2017/02/18/opinion/sunday/first-sex-ed-then-death-ed.html?hp&target=comments,200
http://www.nytimes.com/content/help/site/ie9-support.html,301
https://www.nytimes.com/pages/arts/dance/index.html,301
https://www.nytimes.com/video/science/,301
https://www.nytimes.com/2017/02/19/business/dealbook/kraft-heinz-unilever-merger.html,200
https://www.nytimes.com/video/opinion/100000004863421/death-row-doctor.html?playlistid=100000004867895,200
http://www.nytimes.com/section/magazine,301
http://www.nytimes.com/content/help/rights/sale/terms-of-sale.html,301
https://www.nytimes.com/2017/02/17/opinion/sunday/an-elegy-for-the-library.html,200
